stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
S4778,,嶺井団地入口,,26.195638,127.747628,S4778,,,
S4587,,大里北小学校前,,26.189503,127.752406,S4587,,,
S4724,,南風原,,26.187330,127.755857,S4724,,,
S4719,,西原入口,,26.185374,127.758099,S4719,,,
S4771,,真境名,,26.177690,127.755946,S4771,,,
S4594,,大里ニュータウン,,26.176287,127.751893,S4594,,,
S4590,,大里第二団地前,,26.174125,127.751542,S4590,,,
S4572,,稲福,,26.170688,127.753889,S4572,,,
S4597,,大城入口,,26.164406,127.755695,S4597,,,
S4596,,大城,,26.163289,127.758735,S4596,,,
S4668,,世利田,,26.155762,127.772459,S4668,,,
S4619,,喜良原,,26.153016,127.773877,S4619,,,
S4671,,第二喜良原,,26.152780,127.776897,S4671,,,
S4632,,小羊保育園前,,26.155098,127.780495,S4632,,,
S4595,,大城,,26.163170,127.759255,S4595,,,
S4598,,大城入口,,26.164471,127.755550,S4598,,,
S4573,,稲福,,26.170631,127.753825,S4573,,,
S4593,,大里ニュータウン,,26.176179,127.751373,S4593,,,
S4770,,真境名,,26.177777,127.755927,S4770,,,
S4720,,西原入口,,26.185543,127.757978,S4720,,,
S4723,,南風原,,26.187224,127.755838,S4723,,,
S4586,,大里北小学校前,,26.189476,127.752253,S4586,,,
S4777,,嶺井団地入口,,26.195571,127.747518,S4777,,,
S4745,,福原,,26.193348,127.745342,S4745,,,
S4649,,島袋,,26.189400,127.746000,S4649,,,
S4755,,古堅,,26.187800,127.746600,S4755,,,
S4757,,古堅入口,,26.184720,127.748444,S4757,,,
S4675,,平良入口,,26.180800,127.747500,S4675,,,
S4591,,大里中学校前,,26.178222,127.747194,S4591,,,
S4708,,仲程南,,26.174245,127.746022,S4708,,,
S4677,,高宮城,,26.172000,127.743500,S4677,,,
S4571,,稲嶺十字路,,26.168700,127.739311,S4571,,,
S4569,,稲嶺入口,,26.167398,127.737015,S4569,,,
S4567,,稲嶺,,26.165221,127.735201,S4567,,,
S4792,,湧稲国入口,,26.160530,127.730848,S4792,,,
S4793,,湧稲国公民館前,,26.160140,127.736334,S4793,,,
S4789,,湧稲国,,26.160500,127.738200,S4789,,,
S4779,,目取真入口,,26.160602,127.741041,S4779,,,
S4556,,愛地,,26.159307,127.746405,S4556,,,
S4753,,船越入口,,26.155800,127.749500,S4753,,,
S4752,,船越,,26.151581,127.752194,S4752,,,
S4767,,前川入口,,26.146000,127.745200,S4767,,,
S4766,,前川,,26.143419,127.746760,S4766,,,
S4617,,玉泉洞前,,26.140359,127.747467,S4617,,,
S4762,,堀川入口,,26.132823,127.763211,S4762,,,
S4646,,志堅原公民館前,,26.133238,127.768545,S4646,,,
S4643,,志堅原入口,,26.134240,127.770170,S4643,,,
S4641,,志堅原,,26.136113,127.768947,S4641,,,
S4750,,富里（国道側）,,26.141098,127.768952,S4750,,,
S4747,,富里,,26.142745,127.767815,S4747,,,
S4683,,玉城中学校前,,26.144661,127.764505,S4683,,,
S4781,,屋嘉部入口,,26.147471,127.761960,S4781,,,
S4565,,糸数入口,,26.147946,127.760393,S4565,,,
S4562,,糸数,,26.152708,127.762076,S4562,,,
S4712,,中山入口,,26.140800,127.771900,S4712,,,
S4710,,中山,,26.138900,127.776800,S4710,,,
S4679,,玉城,,26.139700,127.783900,S4679,,,
S4612,,カチャ原,,26.139342,127.786721,S4612,,,
S4744,,百名バスターミナル前,,26.139761,127.789830,S4744,,,
S4737,,百名,,26.141370,127.791683,S4737,,,
